risk organism,organism matched,containing sample,abundance
Bryonia cretica
Ehrharta villosa
Eichhornia crassipes
Moraea flaccida
Myrica faya
Phragmites australis
Pistia stratiotes
Salvinia molesta
Sorghum halepense
Zizania latifolia
Aphanomyces astaci
Acarapis woodi
Aethina tumida
Apis mellifera
Melissococcus pluton
Tropilaelaps clareae
Tropilaelaps koenigerum
Varroa underwoodi
Asterias amurensis
Carcinus maenas
Caulerpa taxifolia
Cherax quadricarinatus
Cherax tenuimanus
Eriocheir sinensis
Haliotis rufescens
Ictalurus punctatus
Penaeus orientalis
Bonamia ostreae
Bonamia roughleyi
Marteilia maurini
Marteilia refringens
Marteilia sydneyi
Mikrocytos mackini
Perkinsus marinus
Perkinsus olseni
Xenohaliotis californiensis
Amblyomma 
Anaplasma 
Anaplasma 
Anaplasma 
Anaplasma 
Babesia 
Bacillus anthracis
Boophilus 
Chrysomya 
Cochliomyia 
Coxiella burnetii
Dermacentor 
Echinococcus 
Ehrlichia ruminatium
Francisella tularensis
Ixodes 
Leishmania 
Rhipicephalus 
Trypanosoma 
Salmonella gallinarum
Salmonella pullorum
Brucella abortus
Campylobacter fetus
Cysticercus bovis
Taenia saginata
Mycoplasma mycoides
Pasteurella multocida
Theileria annulata
Theileria parva
Brucella canis
Dirofilaria immitis
Aeromonas salmonicida
Aphanomyces invadans
Gyrodactylus salaris
Myxobolus cerebralis
Renibacterium salmoninarum
Yersinia ruckeri
Anoplophora glabripennis
Buprestis aurulenta
Bursaphelenchus xylophilus
Coptotermes acinaciformis
Coptotermes formosanus
Cryptotermes brevis
Dendroctonus valens
Endocronartium harknessii
Rhyacionia buoliana
Tomicus piniperda
Teia anartoides
Thaumetopoea pityocampa
Fusarium circinatum
Gremmeniella abietina
Grosmannia wageneri
Heterobasidion annosum
Hylobius abietis
Hyphantria cunea
Lymantria dispar
Lymantria monacha
Melanophila californica
Monochamus 
Neodiprion lecontei
Ophiostoma novo-ulmi
Orgyia thyellina
Orthotomicus erosus
Phytophthora lateralis
Phytophthora ramorum
Pissodes nemorensis
Puccinia psidii
Burkholderia mallei
Histoplasma capsulatum
Taylorella equigenitalis
Theileria equi
Achatina fulica
Anastrepha fraterculus
Anastrepha ludens
Anastrepha obliqua
Anastrepha serpentina
Anastrepha striata
Anastrepha suspensa
Bactrocera aquilonis
Bactrocera carambolae
Bactrocera cucumis
Bactrocera cucurbitae
Bactrocera curvipennis
Bactrocera dorsalis
Bactrocera facialis
Bactrocera frauenfeldi
Bactrocera jarvisi
Bactrocera kirki
Bactrocera latifrons
Bactrocera melanotus
Bactrocera neohumeralis
Bactrocera papayae
Bactrocera passiflorae
Bactrocera philippinensis
Bactrocera psidii
Bactrocera trilineola
Bactrocera trivialis
Bactrocera tryoni
Bactrocera xanthodes
Cacopsylla pyricola
Phytoplasma mali
Ceratitis rosa
Clavibacter michiganensis
Conotrachelus nenuphar
Drosophila suzukii
Flavescence doree
Gymnosporangium asiaticum
Gymnosporangium juniperi-virginianae
Homalodisca coagulata
Leptinotarsa decemlineata
Halyomorpha halys
Helicobasidium mompa
Homalodisca vitripennis
Hyalesthes obsoletus
Bactrocera zonata
Ceratitis capitata
Phytoplasma solani
Phytoplasma pyri
Lobesia botrana
Monilinia fructigena
Xylella fastidiosa
Popillia japonica
Rhagoletis pomonella
Scaphoideus titanus
Synchytrium endobioticum
Tilletia controversa
Tilletia indica
Trogoderma granarium
Xanthomonas axonopodis
Xanthomonas fragariae
Xanthomonas campestris
Aedes aegypti
Aedes albopictus
Aedes japonicus
Aedes togoi
Aedes polynesiensis
Aedes vigilax
Culex annulirostris
Aedes sierrensis
Aedes camptorhynchus
Aedes scutellaris
Aedes atropalpus
Anopheles 
Culex gelidus
Culex sitiens
Anoplolepis gracilipes
Paratrechina longicornis
Brucella suis
Cysticercus cellulosae
Taenia solium
Pasteurella multocida
Trichinella spiralis
Brucella melitensis
Chlamydophila abortus
Theileria lestoquardi
Mycoplasma agalactiae
Mycoplasma capricolum
Psoroptes ovis
Solenopsis geminata
Wasmannia auropunctata
Spilopsyllus cuniculi
Solenopsis invicta
Potamocorbula amurensis
Sabella spallanzanii
Euvarroa sinhai
Penaeus chinensis
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,AG136,[0.00201491033649003]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,M152,[0.00116716379198548]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151H,[0.000203804347826087]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151N,[0.00135725244895551]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,Q158H,[0.00132113821138211]
