Acarapis woodi
Achatina fulica
Aedes aegypti
Aedes albopictus 
Aedes atropalpus 
Aedes camptorhynchus 
Aedes japonicus
Aedes polynesiensis 
Aedes scutellaris 
Aedes sierrensis 
Aedes togoi
Aedes vigilax 
Aeromonas salmonicida
Aethina tumida 
Amblyomma
Anaplasma
Anastrepha fraterculus
Anastrepha fraterculus               
Anastrepha ludens
Anastrepha obliqua
Anastrepha serpentina
Anastrepha striata
Anastrepha suspensa
Anopheles
Anoplolepis gracilipes 
Anoplophora glabripennis
Aphanomyces astaci
Aphanomyces invadans
Apis mellifera 
Asterias amurensis
Babesia
Bacillus anthracis
Bactrocera aquilonis
Bactrocera carambolae
Bactrocera cucumis
Bactrocera cucurbitae
Bactrocera curvipennis
Bactrocera dorsalis
Bactrocera facialis
Bactrocera frauenfeldi
Bactrocera jarvisi
Bactrocera kirki
Bactrocera latifrons
Bactrocera melanotus
Bactrocera neohumeralis
Bactrocera papayae
Bactrocera passiflorae
Bactrocera philippinensis
Bactrocera psidii
Bactrocera trilineola
Bactrocera trivialis
Bactrocera tryoni
Bactrocera tryoni                              
Bactrocera xanthodes 
Bactrocera zonata
Bonamia ostreae
Bonamia roughleyi
Boophilus
Brucella abortus
Brucella canis
Brucella melitensis
Brucella suis
Bryonia cretica
Buprestis aurulenta
Burkholderia mallei
Bursaphelenchus xylophilus
Cacopsylla pyricola
Campylobacter fetus
Carcinus maenas
Caulerpa taxifolia
Ceratitis capitata
Ceratitis capitate                             
Ceratitis rosa
Ceratitis rosa                                     
Cherax quadricarinatus
Cherax tenuimanus
Chlamydophila abortus
Chrysomya
Clavibacter michiganensis
Cochliomyia
Conotrachelus nenuphar
Coptotermes acinaciformis
Coptotermes formosanus
Coxiella burnetii
Cryptotermes brevis
Culex annulirostris 
Culex gelidus
Culex pipiens pallens 
Culex sitiens
Cysticercus bovis
Cysticercus cellulosae
Dendroctonus valens
Dermacentor
Dirofilaria immitis
Drosophila suzukii
Drosophila suzukii
Echinococcus
Ehrharta villosa
Ehrlichia ruminatium
Eichhornia crassipes
Endocronartium harknessii
Eriocheir sinensis
Euvarroa sinhai
Flavescence doree
Francisella tularensis
Fusarium circinatum
Gremmeniella abietina
Grosmannia wageneri
Guignardia bidwellii                                              
Gymnosporangium asiaticum
Gymnosporangium juniperi-virginianae
Gyrodactylus salaris
Haliotis rufescens
Halyomorpha halys
Halyomorpha halys
Helicobasidium mompa
Heterobasidion annosum
Histoplasma capsulatum
Homalodisca coagulata
Homalodisca vitripennis
Homalodisca vitripennis                                
Hyalesthes obsoletus 
Hylobius abietis
Hyphantria cunea
Ictalurus punctatus
Ixodes
Leishmania
Leptinotarsa decemlineata
Lobesia botrana
Lobesia botrana
Lymantria dispar
Lymantria monacha
Marteilia maurini
Marteilia refringens
Marteilia sydneyi
Melanophila californica
Melissococcus pluton
Mikrocytos mackini
Monilinia fructigena
Monochamus
Moraea flaccida
Mycoplasma agalactiae
Mycoplasma capricolum
Mycoplasma mycoides
Myrica faya
Myxobolus cerebralis
Neodiprion lecontei
Ophiostoma novo-ulmi
Orgyia thyellina
Orthotomicus erosus
Paratrechina longicornis
Pasteurella multocida
Pasteurella multocida
Penaeus chinensis 
Penaeus orientalis
Perkinsus marinus
Perkinsus olseni
Phakospora euvitis                
Phragmites australis
Phytophthora lateralis
Phytophthora ramorum
Phytoplasma mali
Phytoplasma pyri
Phytoplasma solani
Phytoplasma solani
Phytoplasma vitis
Pissodes nemorensis
Pistia stratiotes
Planococcus ficus                  
Platynota stultana                               
Popillia japonica
Potamocorbula amurensis 
Pseudopezicula tetraspora
Pseudopezicula tracheiphila
Psoroptes ovis
Puccinia psidii
Renibacterium salmoninarum
Rhagoletis pomonella
Rhipicephalus
Rhyacionia buoliana
Sabella spallanzanii 
Salmonella gallinarum
Salmonella pullorum
Salvinia molesta
Scaphoideus titanus
Solenopsis geminata 
Solenopsis invicta 
Sorghum halepense
Spilopsyllus cuniculi 
Synchytrium endobioticum
Taenia saginata
Taenia solium
Taylorella equigenitalis
Teia anartoides 
Thaumetopoea pityocampa 
Theileria annulata 
Theileria equi
Theileria lestoquardi
Theileria parva
Tilletia controversa
Tilletia indica
Tomicus piniperda
Trichinella spiralis
Trogoderma granarium
Tropilaelaps clareae
Tropilaelaps koenigerum
Trypanosoma
Varroa underwoodi 
Wasmannia auropunctata
Xanthomonas ampelina      
Xanthomonas axonopodis
Xanthomonas campestris
Xanthomonas fragariae 
Xenohaliotis californiensis 
Xylella fastidiosa
Xylella fastidiosa                                     
Yersinia ruckeri
Zizania latifolia
