risk organism,taxon searched,organism matched,containing sample,abundance
genus species,species
Anastrepha fraterculus,fraterculus
Bactrocera tryoni,tryoni
Ceratitis capitata,capitata
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CR90,[0.00839430548465771]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AG136,[0.000302236550473504]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,DL60,[0.0192883725152038]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,DP56,[0.00382446109866337]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,M152,[0.00149137595642589]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,O151H,[0.000203804347826087]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AB144,[0.00216347779054831]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CY54N,[0.00271688792837295]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AZ117F,[0.000832177531206657]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AZ117H,[0.000780132622545833]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CL96,[0.000598682897625224]
