risk organism,organism matched,containing sample,abundance
Bryonia cretica
Ehrharta villosa
Eichhornia crassipes
Moraea flaccida
Myrica faya
Phragmites australis
Pistia stratiotes
Salvinia molesta
Sorghum halepense
Zizania latifolia
Aphanomyces astaci
Acarapis woodi
Aethina tumida
Apis mellifera
Melissococcus pluton
Tropilaelaps clareae
Tropilaelaps koenigerum
Varroa underwoodi
Asterias amurensis
Carcinus maenas
Caulerpa taxifolia
Cherax quadricarinatus
Cherax tenuimanus
Eriocheir sinensis
Haliotis rufescens
Ictalurus punctatus
Penaeus orientalis
Bonamia ostreae
Bonamia roughleyi
Marteilia maurini
Marteilia refringens
Marteilia sydneyi
Mikrocytos mackini
Perkinsus marinus
Perkinsus olseni
Xenohaliotis californiensis
Amblyomma 
Anaplasma 
Anaplasma 
Anaplasma 
Anaplasma 
Babesia 
Bacillus anthracis
Boophilus 
Chrysomya 
Cochliomyia 
Coxiella burnetii
Dermacentor 
Echinococcus 
Ehrlichia ruminatium
Francisella tularensis
Ixodes 
Leishmania 
Rhipicephalus 
Trypanosoma 
Salmonella gallinarum
Salmonella pullorum
Brucella abortus
Campylobacter fetus
Cysticercus bovis
Taenia saginata
Mycoplasma mycoides
Pasteurella multocida
Theileria annulata
Theileria parva
Brucella canis
Dirofilaria immitis
Aeromonas salmonicida
Aphanomyces invadans
Gyrodactylus salaris
Myxobolus cerebralis
Renibacterium salmoninarum
Yersinia ruckeri
Anoplophora glabripennis
Buprestis aurulenta
Bursaphelenchus xylophilus
Coptotermes acinaciformis
Coptotermes formosanus
Cryptotermes brevis
Dendroctonus valens
Endocronartium harknessii
Rhyacionia buoliana
Tomicus piniperda
Teia anartoides
Thaumetopoea pityocampa
Fusarium circinatum
Gremmeniella abietina
Grosmannia wageneri
Heterobasidion annosum
Hylobius abietis
Hyphantria cunea
Lymantria dispar
Lymantria monacha
Melanophila californica
Monochamus 
Neodiprion lecontei
Ophiostoma novo-ulmi
Orgyia thyellina
Orthotomicus erosus
Phytophthora lateralis
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R4.Browntop,[0.000240478263169792]
