Bryonia cretica
Ehrharta villosa
Eichhornia crassipes
Moraea flaccida
Myrica faya
Phragmites australis
Pistia stratiotes
Salvinia molesta
Sorghum halepense
Zizania latifolia
Aphanomyces astaci
Acarapis woodi
Aethina tumida 
Apis mellifera capensis
Apis mellifera scutellata and its hybrids
Melissococcus pluton
Tropilaelaps clareae
Tropilaelaps koenigerum
Varroa underwoodi 
Asterias amurensis
Carcinus maenas
Caulerpa taxifolia
Cherax quadricarinatus
Cherax tenuimanus
Eriocheir sinensis
Haliotis rufescens
Ictalurus punctatus
Penaeus orientalis
Bonamia ostreae
Bonamia roughleyi
Marteilia maurini
Marteilia refringens
Marteilia sydneyi
Mikrocytos mackini
Perkinsus marinus
Perkinsus olseni
Xenohaliotis californiensis 
Amblyomma spp 
Anaplasma spp 
Babesia spp (exotic) 
Bacillus anthracis
Boophilus spp
Chrysomya spp
Cochliomyia spp
Coxiella burnetii
Dermacentor spp
Echinococcus spp
Ehrlichia ruminatium
Francisella tularensis
Ixodes spp (exotic)
Leishmania spp
Rhipicephalus spp
Trypanosoma spp
Salmonella Gallinarum
Salmonella Pullorum
Brucella abortus
Campylobacter fetus subsp venerealis
Cysticercus bovis
Taenia saginata
Mycoplasma mycoides subsp mycoides SC 
Pasteurella multocida B:2 and E:2
Theileria annulata 
Theileria parva
Brucella canis
Dirofilaria immitis
Aeromonas salmonicida
Aphanomyces invadans
Gyrodactylus salaris
Myxobolus cerebralis
Renibacterium salmoninarum
Yersinia ruckeri (exotic strains)
Anoplophora glabripennis
Buprestis aurulenta
Bursaphelenchus xylophilus
Coptotermes acinaciformis
Coptotermes formosanus
Cryptotermes brevis
Dendroctonus valens
Endocronartium harknessii
Rhyacionia buoliana
Tomicus piniperda
Teia anartoides 
Thaumetopoea pityocampa 
Fusarium circinatum
Gremmeniella abietina
Grosmannia wageneri
Heterobasidion annosum
Hylobius abietis
Hyphantria cunea
Lymantria dispar
Lymantria monacha
Melanophila californica
Monochamus spp
Neodiprion lecontei
Ophiostoma novo-ulmi
Orgyia thyellina
Orthotomicus erosus
Phytophthora lateralis
Phytophthora ramorum
Pissodes nemorensis
Puccinia psidii
Burkholderia mallei
Histoplasma capsulatum var farciminosum
Taylorella equigenitalis
Theileria equi
Achatina fulica
Anastrepha fraterculus
Anastrepha ludens
Anastrepha obliqua
Anastrepha serpentina
Anastrepha striata
Anastrepha suspensa
Bactrocera aquilonis
Bactrocera carambolae (formerly B sp near B dorsalis (Taxon A))
Bactrocera cucumis
Bactrocera cucurbitae
Bactrocera curvipennis
Bactrocera dorsalis
Bactrocera facialis
Bactrocera frauenfeldi
Bactrocera jarvisi
Bactrocera kirki
Bactrocera latifrons
Bactrocera melanotus
Bactrocera neohumeralis
Bactrocera papayae (formerly B. sp near B. dorsalis (Taxon B))
Bactrocera passiflorae
Bactrocera philippinensis (formerly B.  sp near B. dorsalis (Taxon C))
Bactrocera psidii
Bactrocera trilineola
Bactrocera trivialis
Bactrocera tryoni
Bactrocera xanthodes 
Cacopsylla pyricola
Candidatus Phytoplasma mali
Ceratitis rosa
Clavibacter michiganensis subsp sepedonicus
Conotrachelus nenuphar
Drosophila suzukii
Flavescence dorŽe phytoplasma
Gymnosporangium asiaticum
Gymnosporangium juniperi-virginianae
Homalodisca coagulata
Leptinotarsa decemlineata
 Halyomorpha halys
Helicobasidium mompa
Homalodisca vitripennis
Hyalesthes obsoletus 
Bactrocera zonata
Ceratitis capitata
Candidatus Phytoplasma solani
Candidatus Phytoplasma pyri
Lobesia botrana
Monilinia fructigena
Xylella fastidiosa
Popillia japonica
Rhagoletis pomonella
Scaphoideus titanus
Synchytrium endobioticum
Tilletia controversa
Tilletia indica
Trogoderma granarium
Xanthomonas axonopodis pv citri
Xanthomonas fragariae 
Xanthomonas campestris pv citri
Aedes aegypti
Aedes albopictus 
Aedes japonicus
Aedes togoi
Aedes polynesiensis 
Aedes vigilax 
Culex annulirostris 
Culex pipiens pallens 
Aedes sierrensis 
Aedes camptorhynchus 
Aedes scutellaris 
Aedes atropalpus 
Anopheles spp
Culex gelidus
Culex sitiens
Anoplolepis gracilipes 
Paratrechina longicornis
Brucella suis
Cysticercus cellulosae
Taenia solium
Pasteurella multocida (toxigenic strains)
Trichinella spiralis
Brucella melitensis
Chlamydophila abortus
Theileria lestoquardi
Mycoplasma agalactiae
Mycoplasma capricolum subsp capripneumoniae
Psoroptes ovis
Solenopsis geminata 
Wasmannia auropunctata
Spilopsyllus cuniculi 
Solenopsis invicta 
Potamocorbula amurensis 
Sabella spallanzanii 
Euvarroa sinhai
Penaeus chinensis 
